text,category
Blood sugar levels are consistently very high.,Endocrinology
Patient complains of abdominal pain after meals.,Gastroenterology
Dark patches on face with mild itching.,Dermatology
Dark patches on face with mild itching.,Dermatology
Patient reports frequent headaches and dizziness.,Neurology
Pain in hip joint while walking long distances.,Orthopedics
"Difficulty breathing on exertion, history of smoking.",Pulmonology
History of hypertension with recent chest tightness.,Cardiology
Post-fracture follow-up with mild residual pain.,Orthopedics
Complaints of palpitations and irregular heartbeat.,Cardiology
Pain in hip joint while walking long distances.,Orthopedics
Patient has increased thirst and frequent urination.,Endocrinology
Complaints of palpitations and irregular heartbeat.,Cardiology
Blood sugar levels are consistently very high.,Endocrinology
Loose stools and dehydration for the last two days.,Gastroenterology
Scalp itching with dandruff and hair fall.,Dermatology
Burning sensation in chest and sour belching.,Gastroenterology
Patient has increased thirst and frequent urination.,Endocrinology
Complaints of palpitations and irregular heartbeat.,Cardiology
Shortness of breath worsening when lying down.,Pulmonology
"Difficulty breathing on exertion, history of smoking.",Pulmonology
"Complaints of weight gain and fatigue, possible thyroid issue.",Endocrinology
Blood sugar levels are consistently very high.,Endocrinology
Complaints of fatigue and loss of appetite.,General Medicine
"Difficulty breathing on exertion, history of smoking.",Pulmonology
Mild cough and cold for past three days.,General Medicine
Burning sensation in chest and sour belching.,Gastroenterology
"Severe knee pain after sports injury, swelling noticed.",Orthopedics
General weakness and disturbed sleep pattern.,General Medicine
Scalp itching with dandruff and hair fall.,Dermatology
Burning sensation in chest and sour belching.,Gastroenterology
Pain in hip joint while walking long distances.,Orthopedics
Small fluid-filled blisters on palms and fingers.,Dermatology
Chest congestion and thick sputum production.,Pulmonology
Patient reports frequent headaches and dizziness.,Neurology
MRI suggests possible lesion in frontal lobe.,Neurology
Scalp itching with dandruff and hair fall.,Dermatology
Patient has increased thirst and frequent urination.,Endocrinology
Complaints of fatigue and loss of appetite.,General Medicine
Pain in hip joint while walking long distances.,Orthopedics
History of hypertension with recent chest tightness.,Cardiology
"Difficulty breathing on exertion, history of smoking.",Pulmonology
Burning sensation in chest and sour belching.,Gastroenterology
"Difficulty breathing on exertion, history of smoking.",Pulmonology
"Dry, flaky skin with occasional burning sensation.",Dermatology
Patient has increased thirst and frequent urination.,Endocrinology
Burning sensation in chest and sour belching.,Gastroenterology
Patient has increased thirst and frequent urination.,Endocrinology
Loose stools and dehydration for the last two days.,Gastroenterology
Dark patches on face with mild itching.,Dermatology
Shortness of breath worsening when lying down.,Pulmonology
Patient complains of abdominal pain after meals.,Gastroenterology
"Symptoms include nausea, vomiting, and stomach cramps.",Gastroenterology
Mild cough and cold for past three days.,General Medicine
Shoulder stiffness and difficulty lifting the arm.,Orthopedics
Burning sensation in chest and sour belching.,Gastroenterology
"Difficulty breathing on exertion, history of smoking.",Pulmonology
High fever with sore throat and body ache.,General Medicine
Numbness and tingling in arms and legs.,Neurology
Patient complains of abdominal pain after meals.,Gastroenterology
Dark patches on face with mild itching.,Dermatology
Complaints of palpitations and irregular heartbeat.,Cardiology
Patient reports frequent headaches and dizziness.,Neurology
"Dry, flaky skin with occasional burning sensation.",Dermatology
"Wheezing sounds during breathing, especially at night.",Pulmonology
Loose stools and dehydration for the last two days.,Gastroenterology
Numbness and tingling in arms and legs.,Neurology
Patient reports frequent headaches and dizziness.,Neurology
Complaints of sudden loss of balance and blurred vision.,Neurology
Small fluid-filled blisters on palms and fingers.,Dermatology
Loose stools and dehydration for the last two days.,Gastroenterology
Scalp itching with dandruff and hair fall.,Dermatology
Itchy red rashes on both arms and legs.,Dermatology
Shoulder stiffness and difficulty lifting the arm.,Orthopedics
Post-fracture follow-up with mild residual pain.,Orthopedics
Blood sugar levels are consistently very high.,Endocrinology
"Dry, flaky skin with occasional burning sensation.",Dermatology
Severe chest discomfort during walking or climbing stairs.,Cardiology
Pain radiating to left arm with sweating and nausea.,Cardiology
High fever with sore throat and body ache.,General Medicine
MRI suggests possible lesion in frontal lobe.,Neurology
Blood sugar levels are consistently very high.,Endocrinology
Severe chest discomfort during walking or climbing stairs.,Cardiology
Patient reports chest pain and shortness of breath.,Cardiology
Insulin dosage adjustment recommended after lab results.,Endocrinology
Pain in hip joint while walking long distances.,Orthopedics
History of acidity and irregular bowel movements.,Gastroenterology
History of hypertension with recent chest tightness.,Cardiology
High fever with sore throat and body ache.,General Medicine
Complaints of palpitations and irregular heartbeat.,Cardiology
Shoulder stiffness and difficulty lifting the arm.,Orthopedics
Severe chest discomfort during walking or climbing stairs.,Cardiology
Dark patches on face with mild itching.,Dermatology
"Difficulty breathing on exertion, history of smoking.",Pulmonology
Complaints of fatigue and loss of appetite.,General Medicine
MRI suggests possible lesion in frontal lobe.,Neurology
Dark patches on face with mild itching.,Dermatology
Complaints of sudden loss of balance and blurred vision.,Neurology
Pain in hip joint while walking long distances.,Orthopedics
Dark patches on face with mild itching.,Dermatology
History of acidity and irregular bowel movements.,Gastroenterology
Complaints of fatigue and loss of appetite.,General Medicine
General weakness and disturbed sleep pattern.,General Medicine
History of hypertension with recent chest tightness.,Cardiology
History of seizures and loss of consciousness.,Neurology
"Difficulty breathing on exertion, history of smoking.",Pulmonology
General weakness and disturbed sleep pattern.,General Medicine
Patient reports chest pain and shortness of breath.,Cardiology
Small fluid-filled blisters on palms and fingers.,Dermatology
Insulin dosage adjustment recommended after lab results.,Endocrinology
Small fluid-filled blisters on palms and fingers.,Dermatology
Itchy red rashes on both arms and legs.,Dermatology
Persistent dry cough and shortness of breath.,Pulmonology
Numbness and tingling in arms and legs.,Neurology
Severe chest discomfort during walking or climbing stairs.,Cardiology
History of acidity and irregular bowel movements.,Gastroenterology
History of hypertension with recent chest tightness.,Cardiology
"Dry, flaky skin with occasional burning sensation.",Dermatology
MRI suggests possible lesion in frontal lobe.,Neurology
Shortness of breath worsening when lying down.,Pulmonology
Post-fracture follow-up with mild residual pain.,Orthopedics
Dark patches on face with mild itching.,Dermatology
"Headache, low-grade fever, and joint pain.",General Medicine
Patient reports chest pain and shortness of breath.,Cardiology
Chest congestion and thick sputum production.,Pulmonology
Patient reports frequent headaches and dizziness.,Neurology
"Symptoms include nausea, vomiting, and stomach cramps.",Gastroenterology
Pain in hip joint while walking long distances.,Orthopedics
Chest congestion and thick sputum production.,Pulmonology
Small fluid-filled blisters on palms and fingers.,Dermatology
Patient complains of abdominal pain after meals.,Gastroenterology
Dark patches on face with mild itching.,Dermatology
Small fluid-filled blisters on palms and fingers.,Dermatology
Patient reports chest pain and shortness of breath.,Cardiology
Dark patches on face with mild itching.,Dermatology
"Symptoms include nausea, vomiting, and stomach cramps.",Gastroenterology
General weakness and disturbed sleep pattern.,General Medicine
Shoulder stiffness and difficulty lifting the arm.,Orthopedics
Complaints of lower back pain radiating to the leg.,Orthopedics
Shortness of breath worsening when lying down.,Pulmonology
MRI suggests possible lesion in frontal lobe.,Neurology
